编号,肌肉,iemg,mpf,mf
H01,LBB,"1133.9432360000042, 1383.8164740000136, 1287.4168154999848, 1221.498683999949, 1227.5238720000577","55.23066444606749, 55.83681457292927, 56.33919142734874, 55.92420925362931, 54.85825268153239","16.6015625, 15.625, 15.625, 16.6015625, 16.6015625"
,LTB,"1123.735602499996, 1211.3170295000584, 1329.347759499985, 1451.2135034999862, 1486.9607850000168","64.71722365759092, 64.52638719644149, 65.94181549471628, 66.45205727682465, 66.40218100872161","16.6015625, 17.578125, 16.6015625, 16.6015625, 16.6015625"
,RBB,"3824.1722670000095, 3370.157983000033, 3593.737606500122, 3651.681271500058, 3051.5161484998835","56.495273558939786, 58.14704099985398, 57.79679461133906, 57.904280680392745, 57.14948938700719","0.0, 14.6484375, 0.9765625, 0.9765625, 0.9765625"
,RTB,"2308.4604369999847, 2254.304126500065, 2556.1761279999205, 2469.06053899995, 2643.2664480000417","74.74899372913913, 75.02871693868117, 73.88253887563992, 74.83261187625718, 74.62290698362187","16.6015625, 16.6015625, 15.625, 15.625, 15.625"
,,,,
H02,LBB,"3348.4149035000023, 3593.483633499962, 3163.1637509999596, 3870.2532505001154, 3762.7423565000718","57.04252253207215, 60.93260158175383, 60.830457856908986, 59.734860217730784, 60.98593403130052","14.6484375, 12.6953125, 14.6484375, 0.0, 0.9765625"
,LTB,"3171.9003384999996, 2969.844953499804, 3159.303051000108, 3485.1295580001893, 3641.6384680001165","74.5872562525105, 73.49509072808185, 75.02405530648771, 73.12420687219766, 72.44948460624889","15.625, 15.625, 15.625, 13.671875, 14.6484375"
,RBB,"5337.20269449999, 4313.205787499905, 4144.096481500035, 4657.388162999917, 4596.103788999857","57.70101899152944, 59.190661633019175, 60.23163856203852, 60.005657810372526, 59.87954566785678","0.0, 13.671875, 0.0, 0.0, 0.0"
,RTB,"5755.354303499996, 5338.050095500429, 3867.2755184998714, 3829.679149499664, 4034.2956739999827","69.035744274221, 69.13750826936052, 68.71592672682407, 69.4277551748218, 68.75075525333008","0.0, 0.9765625, 0.0, 14.6484375, 12.6953125"
,,,,
H03,LBB,"2408.6760309999963, 2068.1012405000693, 1808.5836360000735, 1676.3497009999599, 1489.4262324999384","61.0957464560558, 62.26144302873113, 62.983305572738516, 62.98273623841562, 57.76853650173618","16.6015625, 15.625, 16.6015625, 15.625, 14.6484375"
,LTB,"865.9758115000031, 931.3369499999951, 1011.6202025000052, 1121.6578129999257, 1152.4900400000183","75.65835484721643, 70.15982888405547, 69.86408950672805, 70.66070665866522, 73.38622322665111","18.5546875, 18.5546875, 18.5546875, 18.5546875, 17.578125"
,RBB,"1819.8786605, 1651.8647460000686, 1467.4355799999917, 1375.9169234999679, 1222.2205595000016","59.10801949075339, 58.807456362726676, 59.35067948027121, 58.482666480502935, 58.29744070554744","16.6015625, 15.625, 15.625, 15.625, 16.6015625"
,RTB,"1249.0769659999985, 1243.6573250000147, 1253.9457140000172, 1203.627339000005, 1245.6965289999828","70.73513108416384, 71.53805377899573, 71.29954731390316, 70.73532651289366, 71.73369754075043","17.578125, 17.578125, 17.578125, 17.578125, 17.578125"
,,,,
H04,LBB,"2069.6525335000083, 1596.3863309999651, 1387.6905575000833, 1275.7467949999673, 1289.3186619999535","62.96415485226279, 62.76437696929189, 62.91899933690026, 63.33341883419715, 63.872958147844635","16.6015625, 16.6015625, 16.6015625, 17.578125, 17.578125"
,LTB,"2758.9935440000004, 2207.415234999978, 2206.75898250008, 2272.8141409999025, 2800.2555984999817","54.880878952797836, 57.60104767019525, 58.176927714683096, 58.85021702937991, 57.55283770924966","16.6015625, 16.6015625, 16.6015625, 17.578125, 16.6015625"
,RBB,"2567.274400000015, 2425.256529499981, 1956.6012354999616, 1664.0327564999338, 1937.9660015000627","64.29158857612265, 64.86605185345458, 66.63201766244259, 68.02755470644776, 67.79071683258807","14.6484375, 15.625, 16.6015625, 16.6015625, 16.6015625"
,RTB,"2571.8273175, 2499.7586720000595, 2433.7120604999086, 2176.770169499861, 2189.3755539999715","66.62582425232812, 63.31902067007812, 63.69933228622367, 63.41831962294447, 65.46554655504713","15.625, 15.625, 16.6015625, 16.6015625, 15.625"
,,,,
H05,LBB,"2114.3747919999914, 2183.3316779999886, 2061.4544324999515, 2095.6559770000035, 2047.4692544999937","54.39640923896171, 52.73303195205756, 53.27060434287463, 53.0033727313348, 53.68818891809854","16.6015625, 15.625, 15.625, 15.625, 15.625"
