编号,肌肉,iemg,mpf,mf
S05,LBB,"1136.3685945000016, 1036.374696000012, 958.0587324999594, 1104.4979420000293, 981.6416204999689","51.07908010407332, 51.52227526667455, 51.73124795096136, 52.18801100423129, 52.26969816159292","16.6015625, 16.6015625, 16.6015625, 16.6015625, 16.6015625"
,LTB,"786.5359295000014, 703.3472619999877, 755.1671644999808, 663.2166179999983, 757.0467430000068","57.43213711789051, 56.71571504327009, 56.5883333303582, 57.43803723102577, 57.7299842620297","17.578125, 18.5546875, 17.578125, 17.578125, 17.578125"
,RBB,"759.9835529999978, 643.7784409999957, 678.6656930000137, 639.0284875000116, 652.4102724999993","54.09054578424539, 54.81137893082218, 54.44848423704269, 54.04260386338989, 53.75697985214178","17.578125, 17.578125, 17.578125, 17.578125, 17.578125"
,RTB,"718.9730689999997, 603.8091480000083, 545.7797389999937, 548.9129795000275, 569.0724330000057","56.10960458537305, 55.80072064297806, 56.49381791452064, 56.4506844039115, 56.655767959639256","18.5546875, 18.5546875, 18.5546875, 18.5546875, 18.5546875"
,,,,
S06,LBB,"556.9631210000016, 540.2848285000239, 476.89698399998406, 508.01754549999544, 485.70112949998475","61.26848399909942, 60.32919952432569, 61.766505728326855, 62.70840270726061, 61.91453493173239","18.5546875, 18.5546875, 18.5546875, 18.5546875, 19.53125"
,LTB,"1171.295943499999, 1290.1785864999838, 748.4325109999781, 828.5894684999822, 1382.601176000076","56.08987871976364, 56.30114359510433, 61.79800858250049, 62.04855033241785, 58.13920419289708","17.578125, 16.6015625, 17.578125, 16.6015625, 16.6015625"
,RBB,"1157.199376999998, 1032.0121360000091, 1018.9685130000239, 1247.4330854999773, 1388.6537495000912","55.00562220408295, 56.34308226661936, 55.83732783710974, 55.36676878166648, 55.90847268872902","16.6015625, 16.6015625, 16.6015625, 16.6015625, 15.625"
,RTB,"724.4302960000001, 728.9847345000137, 638.3431355000473, 793.3035680000379, 851.5385724999999","60.2546456101808, 60.45481164563563, 58.856599363952185, 58.99110377379398, 60.26831534575868","17.578125, 16.6015625, 17.578125, 16.6015625, 16.6015625"
,,,,
S07,LBB,"1241.208753999998, 965.2057685000042, 1083.7524324999954, 1753.9507605000267, 1070.6685640000362","48.84351217419758, 47.5349967024284, 48.69043057246, 49.901366773498275, 47.000464636420034","17.578125, 17.578125, 16.6015625, 16.6015625, 18.5546875"
,LTB,"763.2504144999994, 1100.052791500003, 1076.8805980000143, 1210.3358154999983, 751.5740374999888","48.75933257565752, 50.33424274090214, 47.74567187981683, 44.8901777838427, 48.82115820639202","16.6015625, 18.5546875, 15.625, 14.6484375, 16.6015625"
,RBB,"2004.9352000000024, 1419.7100729999956, 1108.3660085000083, 2299.573511500015, 2081.6580719999674","51.203473883795944, 50.826705509633555, 49.756886188753306, 50.678674830029614, 50.0247526046797","16.6015625, 16.6015625, 16.6015625, 15.625, 16.6015625"
,RTB,"1477.6220584999996, 1337.658492499988, 1068.13327199999, 1698.4490310000233, 1272.4760890000352","55.99045156427696, 57.747262153792725, 53.94519287635046, 51.3376956762841, 56.854144041090635","15.625, 16.6015625, 14.6484375, 14.6484375, 16.6015625"
,,,,
S08,LBB,"253.76298050000014, 206.90303599999874, 154.12560500000188, 123.0862304999969, 131.33170400000037","41.882885558091196, 42.22207022670539, 40.5485358427846, 42.91420560856457, 43.45023209051391","17.578125, 17.578125, 18.5546875, 19.53125, 20.5078125"
,LTB,"605.6624735000025, 882.5159559999935, 298.0810309999999, 269.2956425000018, 373.4308039999986","30.82703925037324, 29.802660586195127, 30.808294178902173, 31.015722732095092, 30.088414146859215","14.6484375, 13.671875, 15.625, 16.6015625, 14.6484375"
,RBB,"1445.6062229999961, 1315.7094780000018, 1053.1669544999916, 992.9271360000059, 1298.1515705000286","52.10026797924914, 51.51464418051205, 52.94079834983932, 52.21419209128183, 52.27333488532562","16.6015625, 16.6015625, 17.578125, 16.6015625, 16.6015625"
,RTB,"881.259570499999, 824.378904000007, 815.9345920000168, 861.5984350000317, 925.232354999992","63.956906219430046, 60.48690457427705, 65.80593267776949, 64.68439389628828, 63.94317065703923","16.6015625, 15.625, 16.6015625, 16.6015625, 15.625"
,,,,
S09,LBB,"1250.508990000001, 1120.2286345000007, 860.0140159999976, 980.7728325000074, 867.830963499989","50.17059979101009, 50.21066993311408, 49.93023127925003, 50.05602958954769, 49.54101062895763","17.578125, 17.578125, 17.578125, 17.578125, 18.5546875"
,LTB,"1757.3472484999995, 1432.013120999994, 1309.897618000004, 1532.7189740000128, 1261.7121335000038","50.34659172025355, 50.27003353907081, 50.261215249916674, 50.30318584258396, 50.31072111994804","19.53125, 19.53125, 19.53125, 20.5078125, 20.5078125"
,RBB,"746.3800114999987, 826.3884329999976, 642.5782315000226, 795.9082665000078, 712.1538394999861","52.226735766903424, 53.86368214471959, 53.29764427763796, 53.79393119969611, 53.902905447721544","17.578125, 17.578125, 17.578125, 17.578125, 17.578125"
,RTB,"1030.8503074999999, 1070.4978705000235, 910.4778150000069, 1122.8577899999673, 1000.1381889999894","56.82089481014604, 57.04261489119817, 55.7954750437905, 56.28619914922621, 55.53429399772577","17.578125, 17.578125, 17.578125, 17.578125, 17.578125"
,,,,
S10,LBB,"1571.1993444999978, 1848.6633100000693, 1641.9879255000178, 1621.562951499967, 1974.962242999942","54.17758445860888, 51.416658893716175, 55.14903904884765, 53.907349050709996, 52.21024726380373","16.6015625, 15.625, 16.6015625, 16.6015625, 15.625"
,LTB,"2444.340935000001, 2315.9151329999845, 2077.417193500033, 1847.678465000014, 2011.5557215000576","47.226122952217096, 46.892717224607175, 46.09810359964509, 46.97888592087976, 45.1544134614422","15.625, 14.6484375, 15.625, 15.625, 14.6484375"
,RBB,"1239.0759544999964, 1009.9301345000175, 1204.0189404999978, 1310.8279094999818, 1262.2795504999735","58.84371818959073, 55.816436817435296, 59.09198717507939, 57.12341263232656, 56.89124450842397","16.6015625, 16.6015625, 16.6015625, 16.6015625, 16.6015625"
